run_id,fold,held_out_user,validation_user,n_train_windows,n_test_windows,trials_used,position_accuracy,macro_f1,room_accuracy,mean_distance_error,median_distance_error,rmse_distance_error,p90_distance_error,majority_position_accuracy,majority_room_accuracy,fit_seconds,predict_seconds,wall_seconds,parameter_count,best_val_accuracy,best_epoch,mean_seconds_per_epoch,samples,stopped_epoch,patience_triggered,model,dataset
dl__cnn__2_4ghz__lovo__ebl-session__s43__a89b5d,05,05,04,7420,1486,01,0.1426648721399731,0.1144887672705709,0.5713324360699865,4.364722621144769,3.0,5.812862240698682,10.770329614269007,0.0208613728129205,0.652086137281292,11.807441919110715,1.6643092660233378,13.471751185134051,76020.0,0.1179487179487179,10.0,0.4719444488640875,1486.0,25.0,True,,
dl__cnn__2_4ghz__lovo__ebl-session__s43__a89b5d,06,06,05,7617,1289,01,0.1210240496508921,0.1079644179096208,0.7602792862684251,3.3917397306277963,2.8284271247461903,4.397703752329229,7.071067811865476,0.0224980605120248,0.6718386346004654,10.56759281293489,1.6608921501319855,12.228484963066876,76020.0,0.2207267833109017,8.0,0.459096683209519,1289.0,23.0,True,,
dl__cnn__2_4ghz__lovo__ebl-session__s44__7b9bf2,01,01,06,7336,1570,01,0.1439490445859872,0.1241286211973662,0.5598726114649681,4.202017353300872,3.1622776601683795,5.409239559445021,9.486832980505138,0.0210191082802547,0.6490445859872611,12.86626351205632,1.654752444010228,14.521015956066549,76020.0,0.1326609775019394,15.0,0.4285349530866369,1570.0,30.0,True,,
dl__cnn__2_4ghz__lovo__ebl-session__s44__7b9bf2,02,02,01,7492,1414,01,0.0594059405940594,0.0554292697032425,0.6718528995756718,4.154923565461764,3.1622776601683795,5.249705319405467,9.055385138137416,0.0198019801980198,0.6301272984441302,14.320006730034947,1.646400191122666,15.966406921157612,76020.0,0.1700636942675159,17.0,0.4471582567202858,1414.0,32.0,True,,
dl__cnn__2_4ghz__lovo__ebl-session__s44__7b9bf2,03,03,02,7319,1587,01,0.0812854442344045,0.0623806924662392,0.5513547574039067,4.880748352688417,4.242640687119285,5.979907546602249,10.04987562112089,0.0195337114051669,0.649653434152489,15.13567023188807,1.6238825630862266,16.759552794974297,76020.0,0.0636492220650636,21.0,0.4200615667181814,1587.0,36.0,True,,
dl__cnn__2_4ghz__lovo__ebl-session__s44__7b9bf2,04,04,03,7346,1560,01,0.1608974358974359,0.1413128490835158,0.6833333333333333,3.8322565011759457,3.0,5.323930011676597,10.064691961727378,0.0205128205128205,0.6557692307692308,16.964414371876046,1.297378032002598,18.261792403878644,76020.0,0.1033396345305608,28.0,0.394172542122041,1560.0,43.0,True,,
dl__cnn__2_4ghz__lovo__ebl-session__s44__7b9bf2,05,05,04,7420,1486,01,0.1446837146702557,0.1076797185609102,0.5430686406460296,4.411869815028668,3.1622776601683795,5.8476623344655705,10.44030650891055,0.0208613728129205,0.652086137281292,9.25396640202962,1.2654795821290463,10.519445984158663,76020.0,0.1192307692307692,4.0,0.4866527996001471,1486.0,19.0,True,,
dl__cnn__2_4ghz__lovo__ebl-session__s44__7b9bf2,06,06,05,7617,1289,01,0.1024049650892164,0.0918331643416976,0.7083010085337471,3.5391771782879973,3.0,4.522334883732145,7.280109889280518,0.0224980605120248,0.6718386346004654,10.195771193830296,1.5901346139144152,11.785905807744712,76020.0,0.1877523553162853,7.0,0.4629937612388113,1289.0,22.0,True,,
dl__cnn__5ghz__lovo__ebl-session__s42__9b1404,01,01,06,8067,1628,01,0.0841523341523341,0.0528800093556065,0.6554054054054054,3.735367813021263,3.605551275463989,4.442230884748701,7.071067811865476,0.0196560196560196,0.6621621621621622,11.746657404117286,1.3236912300344557,13.070348634151742,76308.0,0.10392034847542,4.0,0.6178781716153026,1628.0,19.0,True,,
dl__cnn__5ghz__lovo__ebl-session__s42__9b1404,02,02,01,8097,1598,01,0.0569461827284105,0.0372483601885361,0.6451814768460575,3.901016264079984,3.605551275463989,4.595053661023406,7.280109889280518,0.0200250312891113,0.6508135168961201,11.521793802967297,1.4529115420300514,12.974705344997346,76308.0,0.0786240786240786,5.0,0.5757339064846747,1598.0,20.0,True,,
