class_weight,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,validation_position_accuracy,fit_seconds,predict_seconds
balanced,20.0,log2,2,10,500,0.7737003058103975,2.5666171440389007,0.11990554805379361
balanced,20.0,log2,2,10,800,0.7951070336391437,4.0693927590036765,0.16864308202639222
balanced,20.0,log2,4,2,200,0.7675840978593272,0.9904919649707153,0.06546814099419862
balanced,20.0,log2,4,2,300,0.7951070336391437,1.474626773968339,0.08565383299719542
balanced,20.0,log2,4,2,500,0.8134556574923547,2.4023857989814132,0.11742622300516814
balanced,20.0,log2,4,2,800,0.8042813455657493,3.8178203770658,0.17074423690792173
balanced,20.0,log2,4,5,200,0.7675840978593272,1.002171557978727,0.06568660901393741
balanced,20.0,log2,4,5,300,0.7951070336391437,1.4553378788987175,0.08658481598831713
balanced,20.0,log2,4,5,500,0.8134556574923547,2.439640471013263,0.11738371395040303
balanced,20.0,log2,4,5,800,0.8042813455657493,3.917342958971858,0.15041312400717288
balanced,20.0,log2,4,10,200,0.7920489296636085,0.9996149829821661,0.06763398495968431
balanced,20.0,log2,4,10,300,0.8012232415902141,1.4622018330264837,0.07479348895139992
balanced,20.0,log2,4,10,500,0.8134556574923547,2.4196564750745893,0.11828953598160297
balanced,20.0,log2,4,10,800,0.8012232415902141,3.898412464070134,0.16065252607222646
balanced,40.0,sqrt,1,2,200,0.8073394495412844,7.640829682000913,0.0692406800808385
balanced,40.0,sqrt,1,2,300,0.8012232415902141,11.484449121984653,0.08656298101413995
balanced,40.0,sqrt,1,2,500,0.8073394495412844,19.07385364198126,0.1076530358986929
balanced,40.0,sqrt,1,2,800,0.8073394495412844,30.350462962989695,0.15888668200932443
balanced,40.0,sqrt,1,5,200,0.8042813455657493,7.494797525927424,0.059161229990422726
balanced,40.0,sqrt,1,5,300,0.8226299694189603,11.5213437640341,0.07599307294003665
balanced,40.0,sqrt,1,5,500,0.8379204892966361,18.751059320988134,0.12031545606441796
balanced,40.0,sqrt,1,5,800,0.8226299694189603,29.74801949702669,0.1728821110446006
balanced,40.0,sqrt,1,10,200,0.7798165137614679,7.306412341073155,0.06524934701155871
balanced,40.0,sqrt,1,10,300,0.7889908256880734,11.024082986987196,0.07706460892222822
balanced,40.0,sqrt,1,10,500,0.7951070336391437,18.1021831210237,0.1069107090588659
balanced,40.0,sqrt,1,10,800,0.8103975535168195,28.901167373056524,0.17682984692510217
balanced,40.0,sqrt,2,2,200,0.7981651376146789,7.3231062210397795,0.06467971799429506
balanced,40.0,sqrt,2,2,300,0.8134556574923547,10.867023175000213,0.07612360105849802
balanced,40.0,sqrt,2,2,500,0.8012232415902141,18.159796011983417,0.10704857402015477
balanced,40.0,sqrt,2,2,800,0.8073394495412844,29.271058992948383,0.15965663501992822
balanced,40.0,sqrt,2,5,200,0.8073394495412844,7.283849861007184,0.06460825202520937
balanced,40.0,sqrt,2,5,300,0.8134556574923547,10.989817328983918,0.09231748699676245
balanced,40.0,sqrt,2,5,500,0.8287461773700305,18.263043766026385,0.12615412496961653
balanced,40.0,sqrt,2,5,800,0.8287461773700305,29.043883241014555,0.15826721594203264
balanced,40.0,sqrt,2,10,200,0.7889908256880734,7.298709406051785,0.06559274694882333
balanced,40.0,sqrt,2,10,300,0.8012232415902141,10.915499108028598,0.087886116001755
balanced,40.0,sqrt,2,10,500,0.8073394495412844,17.722042817040347,0.1165004950016737
balanced,40.0,sqrt,2,10,800,0.8103975535168195,28.35572485695593,0.16011528903618455
balanced,40.0,sqrt,4,2,200,0.7889908256880734,6.771194064989686,0.06564394303131849
balanced,40.0,sqrt,4,2,300,0.8103975535168195,10.095104241976514,0.09546261990908533
balanced,40.0,sqrt,4,2,500,0.8073394495412844,16.931078102090396,0.13184310402721167
balanced,40.0,sqrt,4,2,800,0.8103975535168195,26.710176088032313,0.17003304907120764
balanced,40.0,sqrt,4,5,200,0.7889908256880734,6.789043258060701,0.06508719606790692
balanced,40.0,sqrt,4,5,300,0.8103975535168195,10.104448960977606,0.07559869403485209
balanced,40.0,sqrt,4,5,500,0.8073394495412844,16.75938871805556,0.11913561390247196
balanced,40.0,sqrt,4,5,800,0.8103975535168195,26.736423121998087,0.17086699593346566
balanced,40.0,sqrt,4,10,200,0.8012232415902141,6.792812655097805,0.06499528302811086
balanced,40.0,sqrt,4,10,300,0.7798165137614679,10.196116887964308,0.08736085495911539
balanced,40.0,sqrt,4,10,500,0.8042813455657493,16.721883969963528,0.12048932502511889
balanced,40.0,sqrt,4,10,800,0.8042813455657493,26.76690696401056,0.17285113502293825
balanced,40.0,log2,1,2,200,0.7889908256880734,1.1951843310380355,0.06655643589328974
balanced,40.0,log2,1,2,300,0.7981651376146789,1.8024572569411248,0.07586927094962448
balanced,40.0,log2,1,2,500,0.8012232415902141,3.0010832669213414,0.11766931402962655
balanced,40.0,log2,1,2,800,0.8103975535168195,4.728850646992214,0.17121533292811364
balanced,40.0,log2,1,5,200,0.7889908256880734,1.180978927994147,0.06494719302281737
balanced,40.0,log2,1,5,300,0.8073394495412844,1.7337231769924983,0.07448527892120183
balanced,40.0,log2,1,5,500,0.8195718654434251,2.8752392609603703,0.11846184195019305
balanced,40.0,log2,1,5,800,0.8195718654434251,4.598254375974648,0.17099393694661558
balanced,40.0,log2,1,10,200,0.7828746177370031,1.124379222979769,0.06525338406208903
balanced,40.0,log2,1,10,300,0.7920489296636085,1.6335600540041924,0.08699435507878661
balanced,40.0,log2,1,10,500,0.8012232415902141,2.754197307047434,0.11840597505215555
balanced,40.0,log2,1,10,800,0.8195718654434251,4.328509189072065,0.16177246801089495
balanced,40.0,log2,2,2,200,0.8073394495412844,1.152285153977573,0.06817628897260875
